cluster,roomId,name,units
Villa Rawai,546558,RawaiVIP J10,1
Villa Rawai,611019,RawaiVIP M9,1
Villa Rawai,612926,RawaiVIP R20,1
Villa North,573511,LagunaVillage TH 138/26,1
Villa North,608887,NaiYang Villa 4BR,1
Villa North,616224,Botanica Modern Loft II,1
Villa North,648774,Botanica Luxury 29/27,1
Studio Surin,249791,Aristo Resort (1) - Studio,11
Studio Surin,249809,ABSKG Studio+kitchen,7
Studio Surin,249818,ABSNM Studio w/o kitchen,3
Studio Surin,249813,Aristo Beach (2) - 423,2
1BR Surin+Bangtao,249800,Palmyrah Surin - B207,7
1BR Surin+Bangtao,428692,Palmyrah Seaview A602,1
1BR Surin+Bangtao,305965,Aristo Resort (1) -722,1
1BR Surin+Bangtao,676199,Capri CP1K-B802,1
1BR Surin+Bangtao,249834,OS-602,7
1BR Surin+Bangtao,249840,OS-704,1
1BR Surin+Bangtao,610805,Title Legendary A302,1
1BR Surin+Bangtao,610812,Title Legendary D405,2
1BR Surin+Bangtao,610813,Title Legendary D407,1
1BR Surin+Bangtao,261463,Diamond 1202,1
1BR Surin+Bangtao,249823,Panora Garden D513,1
1BR Surin+Bangtao,249824,Panora Seaview E102,5
1BR Surin+Bangtao,364379,Panora Mountain G320,5
1BR Surin+Bangtao,393983,PS-A306,1
1BR Surin+Bangtao,642714,PS-E403,1
Premium 1BR Bangtao,634771,Laguna Beachside 1BR,1
Premium 1BR Bangtao,676195,Skypark SC1KG,1
2BR Bangtao,249826,OS-201,1
2BR Bangtao,249829,OS-211,1
2BR Bangtao,249833,OS-510,2
2BR Bangtao,249781,Aristo Resort (1) -104,1
2BR Bangtao,249788,Aristo Resort (1) -218,1
2BR Bangtao,249795,Aristo Resort (1) - 610,1
2BR Bangtao,634330,Title Legendary H704,1
2BR Bangtao,249814,Aristo Resort (1) - 215,1
2BR Bangtao,676196,Skypark SC2KC,1
2BR Bangtao,676197,Skypark SC2KGolf,1
2BR Bangtao,642717,PS-E707,1
Studio Rawai,249853,Relife Windy sofa,2
Studio Rawai,249854,Relife Windy City A307,2
Studio Rawai,249855,Relife Windy podium,2
Studio Rawai,250492,Relife Windy Country A508,2
Studio Rawai,428695,Relife Windy Country A308,1
Studio Rawai,410941,RBC-302,1
1BR Rawai,249870,Pearl-507,11
1BR Rawai,600394,Pearl-507-Pets,3
1BR Rawai,249861,NSC-307,2
1BR Rawai,249864,NSC-601,6
1BR Rawai,608545,Title Rawai Y111,1
1BR Rawai,592841,RBC-512,1
2BR Rawai,648773,NBC2KP-B204,1
2BR Rawai,612929,NBC2KM-P807,1
Premium Rawai,538037,Calypso Garden 402,1
Premium Rawai,342683,Saturdays,2
Premium Rawai,591659,NSC-805,1
Premium Rawai,249857,Relife Windy Saras Nest D724,1
Premium Rawai,634240,Karon Hill 607 2BR,1
Premium Rawai,410170,Calypso Garden 107,1
Studio 777,656897,777 SKB-PC447,1
Studio 777,656898,777 SKJ-PA306,1
Studio 777,676072,777 SKJ-PA210,1
Studio 777,676073,777 SKP-PB251,2
North apts (777 1BR+MBC+NaiYang),648770,777 1KM-CD412,1
North apts (777 1BR+MBC+NaiYang),676150,MBC2KP,1
North apts (777 1BR+MBC+NaiYang),366967,Title NaiYang E202,1
North apts (777 1BR+MBC+NaiYang),386044,Title NaiYang A207,1
Karon Hill+Kata,592834,Karon Hill 113,1
Karon Hill+Kata,627851,Karon Hill 103,1
Karon Hill+Kata,634178,Grand Kata VIP B-102,1
Karon Hill+Kata,249849,Palmetto 8/12,2
Karon Hill+Kata,249850,Palmetto 8/25,1
Karon Hill+Kata,700396,Grand Kata VIP A416,1
Karon Hill+Kata,700434,WeKata WK1KC-30m,1
Karon Hill+Kata,700436,WeKata WK1KC-35m,1
Karon Hill+Kata,700437,WeKata WK1KM-35m,1
North apts (777 1BR+MBC+NaiYang),697696,Title Serenity D125,1
Studio 777,601653,777 Maikhao P306 (exited),1
Premium Rawai,710171,Calypso Garden 414,1
1BR Rawai,710182,Title Rawai X306,1
2BR Bangtao,711964,Canvas Cherngtalay CV2KM,1
North apts (777 1BR+MBC+NaiYang),711968,Title Halo NaiYang MA405,1
1BR Surin+Bangtao,711979,Aristo Resort 209 (AR1KG),1
